explainer,node,full,pruned,drop
GNNExplainer,156156,0.9973662495613098,0.9973662495613098,0.0
GNNExplainer,157029,0.9965468049049377,0.9965468049049377,0.0
GNNExplainer,152680,0.99303138256073,0.99303138256073,0.0
GNNExplainer,156391,0.992667019367218,0.992667019367218,0.0
GNNExplainer,155935,0.9926121830940247,0.9926121830940247,0.0
GNNExplainer,154134,0.9911880493164062,0.9997362494468689,-0.008548200130462646
GNNExplainer,154797,0.9877311587333679,0.9877311587333679,0.0
GNNExplainer,181547,0.9852826595306396,0.9852826595306396,0.0
GNNExplainer,152802,0.980109691619873,0.980109691619873,0.0
GNNExplainer,180971,0.9779311418533325,0.9779311418533325,0.0
GNNExplainer,183415,0.9766556620597839,0.9766556620597839,0.0
GNNExplainer,156303,0.9763409495353699,0.9763409495353699,0.0
GNNExplainer,157398,0.9738446474075317,0.9738446474075317,0.0
GNNExplainer,202841,0.9727576971054077,0.9727576971054077,0.0
GNNExplainer,151167,0.972079336643219,0.972079336643219,0.0
GNNExplainer,184832,0.9712315797805786,0.9712315797805786,0.0
GNNExplainer,181146,0.9708734750747681,0.9424776434898376,0.02839583158493042
GNNExplainer,159578,0.9706865549087524,0.9706865549087524,0.0
GNNExplainer,180792,0.9701479077339172,0.9262555241584778,0.04389238357543945
GNNExplainer,197779,0.9697405695915222,0.9697405695915222,0.0
GNNExplainer,167164,0.9696446061134338,0.9696446061134338,0.0
GNNExplainer,169706,0.969639241695404,0.969639241695404,0.0
GNNExplainer,138314,0.9686693549156189,0.9686693549156189,0.0
GNNExplainer,183949,0.968568742275238,0.968568742275238,0.0
GNNExplainer,153641,0.9683645367622375,0.9683645367622375,0.0
GNNExplainer,168700,0.9683018326759338,0.962390661239624,0.0059111714363098145
GNNExplainer,150888,0.9679160714149475,0.9679160714149475,0.0
GNNExplainer,187575,0.9671543836593628,0.9671543836593628,0.0
GNNExplainer,187008,0.9666569232940674,0.9666569232940674,0.0
GNNExplainer,184833,0.9658478498458862,0.9118815660476685,0.05396628379821777
GNNExplainer,172369,0.9650875926017761,0.9650875926017761,0.0
GNNExplainer,203294,0.9650117754936218,0.9650117754936218,0.0
GNNExplainer,170368,0.9646749496459961,0.9454649090766907,0.01921004056930542
GNNExplainer,151332,0.9641846418380737,0.9641846418380737,0.0
GNNExplainer,179801,0.9638437628746033,0.9638437628746033,0.0
GNNExplainer,188352,0.9635711908340454,0.9635711908340454,0.0
GNNExplainer,182363,0.9632547497749329,0.9632547497749329,0.0
GNNExplainer,153665,0.9631682634353638,0.9631682634353638,0.0
GNNExplainer,202868,0.9631205797195435,0.9631205797195435,0.0
GNNExplainer,180689,0.9630952477455139,0.9630952477455139,0.0
GNNExplainer,189692,0.9629437923431396,0.9629437923431396,0.0
GNNExplainer,189329,0.9629406929016113,0.9629406929016113,0.0
GNNExplainer,182471,0.9626238942146301,0.9626238942146301,0.0
GNNExplainer,169652,0.9625988602638245,0.9388309717178345,0.02376788854598999
GNNExplainer,153837,0.962391197681427,0.9640920162200928,-0.0017008185386657715
GNNExplainer,180001,0.9618034362792969,0.9618034362792969,0.0
GNNExplainer,179296,0.961781919002533,0.9617636203765869,1.8298625946044922e-05
GNNExplainer,179273,0.9617500305175781,0.9617500305175781,0.0
GNNExplainer,172276,0.9613728523254395,0.9613728523254395,0.0
GNNExplainer,160345,0.961310088634491,0.961310088634491,0.0
GNNExplainer,179639,0.9606227874755859,0.9606227874755859,0.0
GNNExplainer,182381,0.9604580402374268,0.9604580402374268,0.0
GNNExplainer,180065,0.960420548915863,0.960420548915863,0.0
